CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt,PCA_dt_medinc,PCA_dt_allinc
"Colleton, SC",-0.07408727446138587,-1.5462296780502804,0.0,0.4152934864057819,-0.020854512811341715,2.1196682300136427,-0.1402649374977456,1.0246251635335093,0.36637059864234045,1.1850841305572093,1.659623026447635,-1.1353195698478076,1.164443705970982,1.6348286695481056,0.30117199865209393,0.7710031213296124,-1.560610801480501,-0.8373383608517686,-0.18165197670757277,0.602943093848241,0.0,0.0,0.0,1.0,0.0,1.0,-0.5679189862767934,-0.4966782104828844
"Collier, FL",-0.8716792497377877,1.2378747329921724,1.0,-1.3038863519017991,2.1441458225301884,-1.1001396710768057,1.378577289801177,-0.37660376927260536,0.6308019002315602,0.12491975675541475,0.557381912603961,-0.7881016329623275,-0.24325507030852372,-0.6210918724017387,1.5215267115461304,-2.8683181802761397,1.9888323484537005,0.5224547591828949,1.0806746408341588,0.6165409744753192,0.0,1.0,0.0,1.0,0.0,1.0,1.1935946229279653,1.4884179830247055
"Collin, TX",1.4432206176456,2.1954612073083872,1.0,1.5053980472711568,-2.269562943177535,-1.4461035929181751,0.9934133432001487,-1.8934451204062486,-0.5166234385672446,-1.3385044766537655,0.6907734212244052,-0.8792914964216297,-2.0533356042404134,-1.9263989244707305,1.9599215158686272,-1.706786382764169,1.7257015866607084,-0.3229100253126286,-0.4738272082428634,1.3589129518125596,0.0,1.0,0.0,1.0,0.0,1.0,0.31550950150596213,0.12725855952503662
"Collingsworth, TX",-1.280981397513278,-0.9031277081508966,0.0,1.3276476007783058,0.5567170624600638,-0.13084756386518512,1.4731576309854983,-1.3971481543842321,-1.0022461423051876,-0.9936691468373965,0.37151550264467964,-0.8676916840120826,0.6180588649234722,1.269683356712871,-1.6022924435693016,1.1694006645176926,-0.6230948203286073,-0.22777672762222823,-1.9595359838375317,-0.12958231367213702,0.0,1.0,0.0,1.0,1.0,0.0,-0.043397936322138064,-0.30753487782619177
"Colorado, TX",0.307111166190688,0.08006376708567765,0.0,0.19313079873156735,0.8581901763377583,0.1321130235613776,1.3862508105941826,-1.4456987143451356,0.11281761117259397,-0.19433106127790406,0.8916629391789287,-0.9893463574930876,-0.07912030015842841,0.4034310493318393,-0.1753082713753101,0.4947727603704413,-0.2871904439016553,-1.0103819916421055,-0.07786186080682236,0.7347981032164006,0.0,1.0,0.0,1.0,0.0,0.0,-0.3388912459146659,-0.501913288299142
"Colquitt, GA",-0.39113737482256405,-1.5027933668594449,0.0,1.3308696576537435,-0.7850766860124697,0.6943105320478632,1.0940342182905878,0.9888526459419086,-0.13516516702698148,0.8734473723827522,1.1848350484240175,-1.0292984082912837,1.2753024746021526,0.8588679581888689,0.4233466800230857,0.6716456600560462,-0.7556922481644844,-0.037645951375149304,-1.4146976723207718,0.7782249060548562,0.0,0.0,0.0,1.0,0.0,0.0,0.20910511609464333,0.1840866534514881
"Columbia, AR",-0.9574536341270139,-0.9742156999228118,0.0,-0.17591205984223388,0.09199468143921516,0.7315152969860136,-0.3709189722794356,0.22127379466669492,-0.14948861341982164,0.4352938904970883,1.5912792571998764,-1.0099694168599678,1.2366522415199066,0.05862942595108354,-0.04647850912907827,1.1127376146824017,-1.0316677291888297,-0.09423192523971015,-1.3340661379646257,-1.1743865247136833,1.0,1.0,1.0,1.0,0.0,1.0,-0.40631870657145663,-0.489730091592832
"Columbia, FL",0.7184619962535121,-0.3785993238021487,0.0,-0.2854383578001394,-0.08332122489003288,0.6611618742897374,0.29316237698171516,0.6596094472129232,-0.2159951713550329,0.5940788092434842,1.0278084555257774,-0.48767179168113395,0.7266058109575452,1.0328822210902644,0.6843446129736317,0.0682177732193665,-0.37107228976173884,-2.013671405766345,-0.12073125279186663,1.150470045275683,0.0,1.0,0.0,1.0,1.0,1.0,-0.12822333057036847,0.16755157785702685
"Columbia, GA",-1.061884134877072,1.7547452949346325,1.0,1.2639869147703608,-1.5199937254123541,-0.27048547902722114,0.30782286857126245,-1.3317674204144325,-0.11146615316185009,-0.9280356451343248,0.9583527415130255,-0.5203269522555375,-1.261282157758418,-1.1534855660104395,1.0086836692819097,-0.6406423335814728,0.520674534678981,0.21235276704949826,0.17910168640611013,-0.6104835432900302,0.0,0.0,0.0,1.0,0.0,1.0,-0.6064933234829546,-0.5757650591729166
"Columbia, NY",1.513038283303846,0.9832588080182663,0.0,-1.0486120596736475,0.6241791972054437,-0.17400458122309548,0.11618642007138545,1.109219503217905,-0.35496037507802813,0.10184623116264861,0.3934670134722069,0.08856980738381587,-0.24325507030852372,0.1905167059516046,0.6326154822248365,0.2672048942925486,-0.006319649462907501,0.24067139635615026,0.825387401553544,1.3716572255726536,0.0,1.0,0.0,1.0,1.0,1.0,-0.6380450684833906,-0.052159362885647556
